team,squad_player_name,stats_player_id,resolution_method
Sunrisers Hyderabad,R Smaran,R Smaran,alias
Sunrisers Hyderabad,Salil Arora,Salil Arora,alias
Sunrisers Hyderabad,Abhishek Sharma,Abhishek Sharma,alias
Sunrisers Hyderabad,Nitish Kumar Reddy,Nithish Kumar Reddy,alias
Sunrisers Hyderabad,Harshal Patel,HV Patel,alias
Sunrisers Hyderabad,Harsh Dubey,Harsh Dubey,alias
Sunrisers Hyderabad,Shivang Kumar,Shivang Kumar,alias
Sunrisers Hyderabad,Krains Fuletra,Krains Fuletra,alias
Sunrisers Hyderabad,Zeeshan Ansari,Zeeshan Ansari,alias
Sunrisers Hyderabad,Amit Kumar,Amit Kumar,alias
Sunrisers Hyderabad,Jaydev Unadkat,JD Unadkat,alias
Sunrisers Hyderabad,Shivam Mavi,Shivam Mavi,alias
Sunrisers Hyderabad,Onkar Tarmale,Onkar Tarmale,alias
Sunrisers Hyderabad,Sakib Hussain,Sakib Hussain,alias
Sunrisers Hyderabad,Praful Hinge,Praful Hinge,alias
Sunrisers Hyderabad,Liam Livingstone,Liam Livingstone,alias
Sunrisers Hyderabad,Brydon Carse,Brydon Carse,alias
Sunrisers Hyderabad,David Payne,David Payne,alias
Sunrisers Hyderabad,Travis Head,TM Head,alias
Sunrisers Hyderabad,Heinrich Klaasen,H Klaasen,alias
Sunrisers Hyderabad,Kamindu Mendis,Kamindu Mendis,alias
Sunrisers Hyderabad,Eshan Malinga,E Malinga,alias
